Номенклатура;Дата;Количество;Цена;Сумма;НДС;Контрагент;Организация
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2024-10-18 12:47:44;296.0;148.03;21908.74;3651.46;Лента ООО РЦ Лешино;"ООО ""ВоронежАгро-М"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2024-10-17 23:59:57;136.0;129.22;8786.96;1464.49;ВРА-М ООО;"ООО ""7 Утра"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2024-10-17 14:57:13;136.0;148.03;10066.18;1677.7;Лента ООО РЦ Ростов ;"ООО ""ВоронежАгро-М"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2024-10-16 23:59:57;264.0;129.22;17057.04;2842.84;ВРА-М ООО;"ООО ""7 Утра"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2024-10-16 01:05:23;264.0;148.03;19540.22;3256.7;Лента ООО РЦ Ижора;"ООО ""ВоронежАгро-М"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2024-10-15 23:59:57;344.0;129.22;22225.84;3704.31;ВРА-М ООО;"ООО ""7 Утра"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2024-10-15 21:24:10;128.0;148.03;9474.05;1579.01;Лента ООО РЦ Тольятти;"ООО ""ВоронежАгро-М"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2024-10-15 16:37:41;216.0;150.41;16244.06;2707.34;Лента ООО РЦ Екатеринбург;"ООО ""ВоронежАгро-М"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2024-10-11 23:59:57;320.0;129.22;20675.2;3445.87;ВРА-М ООО;"ООО ""7 Утра"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2024-10-11 08:19:48;320.0;148.03;23685.12;3947.52;Лента ООО РЦ Лешино;"ООО ""ВоронежАгро-М"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2024-10-09 23:59:57;160.0;129.22;10337.6;1722.93;ВРА-М ООО;"ООО ""7 Утра"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2024-10-09 09:44:57;160.0;148.03;11842.56;1973.76;Лента ООО РЦ Тольятти;"ООО ""ВоронежАгро-М"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2024-10-08 23:59:57;872.0;129.22;56339.92;9389.99;ВРА-М ООО;"ООО ""7 Утра"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2024-10-08 18:27:00;232.0;148.03;17171.71;2861.95;Лента ООО РЦ Ижора;"ООО ""ВоронежАгро-М"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2024-10-08 15:27:49;280.0;196.9;27565.44;4594.24;Лента ООО РЦ Новосибирск;"ООО ""ВоронежАгро-М"""
"Пр.из творога ""365 дней"" 24%.500г.пакет.8шт";2024-10-08 15:27:43;272.0;150.41;20455.49;3409.25;Лента ООО РЦ Екатеринбург;"ООО ""ВоронежАгро-М"""
